2b5/8/5k2/2N2pp1/2BPp2p/4P3/6P1/5K2 w - -,1-0,29
2b5/4k3/8/2N2pp1/2BPp2p/4P3/6P1/5K2 b - -,1-0,30
2b5/4k3/8/2N2pp1/2BPp2p/4P3/4K1P1/8 w - -,1-0,31
2b5/8/3k4/2N2pp1/2BPp2p/4P3/4K1P1/8 b - -,1-0,32
2b5/8/3k4/2N2pp1/2BPp2p/4P3/3K2P1/8 w - -,1-0,33
8/3b4/3k4/2N2pp1/2BPp2p/4P3/3K2P1/8 b - -,1-0,34
8/3b4/N2k4/5pp1/2BPp2p/4P3/3K2P1/8 w - -,1-0,35
8/3b4/N2k2p1/5p2/2BPp2p/4P3/3K2P1/8 b - -,1-0,36
8/3b4/3k2p1/5p2/1NBPp2p/4P3/3K2P1/8 w - -,1-0,37
4b3/8/3k2p1/5p2/1NBPp2p/4P3/3K2P1/8 b - -,1-0,38
4b3/8/3k2p1/3N1p2/1pBPp2p/4P3/3K2P1/8 w - -,1-0,39
4b3/4k3/6p1/3N1p2/1pBPp2p/4P3/3K2P1/8 b - -,1-0,40
4b3/4k3/6p1/5p2/1pBPpN1p/4P3/3K2P1/8 w - -,1-0,41
4b3/8/3k2p1/5p2/1pBPpN1p/4P3/3K2P1/8 b - -,1-0,42
4b3/8/3k2p1/5p2/1p1PpN1p/1B2P3/3K2P1/8 w - -,1-0,43
4b3/6p1/3k4/5p2/1p1PpN1p/1B2P3/3K2P1/8 b - -,1-0,44
4b3/6p1/3k4/5p2/1p1Pp2p/1B2P2N/3K2P1/8 w - -,1-0,45
8/6p1/3k2b1/5p2/1p1Pp2p/1B2P2N/3K2P1/8 b - -,1-0,46
8/6p1/3k2b1/5p2/1p1Pp2p/1B2P3/3K1NP1/8 w - -,1-0,47
8/6p1/3k2b1/5p1p/1p1Pp3/1B2P3/3K1NP1/8 b - -,1-0,48
8/6p1/3k2b1/5p1p/1p1Pp3/1B2P3/3K2P1/7N w - -,1-0,49
8/6p1/3k2bp/5p2/1p1Pp3/1B2P3/3K2P1/7N b - -,1-0,50
8/6p1/3k2bp/5p2/1p1Pp3/1B2P3/3K1NP1/8 w - -,1-0,51
8/6p1/3k2bp/4pp2/1p1P4/1B2P3/3K1NP1/8 b - -,1-0,52
8/6p1/3k2bp/4pp2/1p6/1B1PP3/3K1NP1/8 w - -,1-0,53
8/6p1/2k3bp/4pp2/1p6/1B1PP3/3K1NP1/8 b - -,1-0,54
8/6p1/2k3bp/4pp2/1p2N3/1B1PP3/3K2P1/8 w - -,1-0,55
8/6p1/2k2pbp/4p3/1p2N3/1B1PP3/3K2P1/8 b - -,1-0,56
8/6p1/2k2pbp/4p3/1p2N3/1B1PP3/4K1P1/8 w - -,1-0,57
8/6p1/1k3pbp/4p3/1p2N3/1B1PP3/4K1P1/8 b - -,1-0,58
8/6p1/1k3pbp/4p3/1p2N3/1B1PP3/5KP1/8 w - -,1-0,59
8/6p1/1k3p1p/4p2b/1p2N3/1B1PP3/5KP1/8 b - -,1-0,60
8/6p1/1k3p1p/4p2b/Bp2N3/3PP3/5KP1/8 w - -,1-0,61
8/6p1/5p1p/2k1p2b/Bp2N3/3PP3/5KP1/8 b - -,1-0,62
8/6p1/3N1p1p/2k1p2b/Bp6/3PP3/5KP1/8 w - -,1-0,63
8/6p1/1k1N1p1p/4p2b/Bp6/3PP3/5KP1/8 b - -,1-0,64
8/6p1/1k3p1p/1N2p2b/Bp6/3PP3/5KP1/8 w - -,1-0,65
8/1k4p1/5p1p/1N2p2b/Bp6/3PP3/5KP1/8 b - -,1-0,66
8/Nk4p1/5p1p/4p2b/Bp6/3PP3/5KP1/8 w - -,1-0,67
8/NPk3p1/5p1p/4p2b/Bp6/3PP3/5KP1/8 b - -,1-0,68
8/bPk3p1/2N2p1p/4p2b/Bp6/3PP3/5KP1/8 w - -,1-0,69
8/bP4p1/2Nk1p1p/4p2b/Bp6/3PP3/5KP1/8 b - -,1-0,70
8/bP4p1/3k1p1p/N3p2b/Bp6/3PP3/5KP1/8 w - -,1-0,71
8/bP2k1p1/5p1p/N3p2b/Bp6/3PP3/5KP1/8 b - -,1-0,72
8/bP2k1p1/5p1p/4p2b/BpN5/3PP3/5KP1/8 w - -,1-0,73
8/1P2k1p1/5p1p/2b1p2b/BpN5/3PP3/5KP1/8 b - -,1-0,74
8/1q2k1p1/P4p1p/2b1p2b/BpN5/3PP3/5KP1/8 w - -,1-0,75
8/1Qq1k1p1/P4p1p/2b1p2b/BpN5/3PP3/5KP1/8 b - -,1-0,76
8/2q1k1p1/P4p1p/1Qb1p2b/BpN5/3PP3/5KP1/8 w - -,1-0,77
8/q3k1p1/P4p1p/1Qb1p2b/BpN5/3PP3/5KP1/8 b - -,1-0,78
8/q3k1p1/P4p1p/Q1b1p2b/BpN5/3PP3/5KP1/8 w - -,1-0,79
4b3/q3k1p1/P4p1p/Q1b1p2P/BpN5/3PP3/5KP1/8 b - -,1-0,80
4b3/q3k1p1/P4p1p/Q1b1p2P/1pN5/3PP3/5KP1/3B4 w - -,1-0,81
4bk2/q5p1/P4p1p/Q1b1p2P/1pN5/3PP3/5KP1/3B4 b - -,1-0,82
4bk2/q5p1/P4p1p/Q1b1p2P/1pN5/3PP3/4BKP1/8 w - -,1-0,83
4bk2/q5p1/P3pp1p/Q1b4P/1pN5/3PP3/4BKP1/8 b - -,1-0,84
4bk2/q5p1/P3pp1p/Q1b4P/1pN5/3PP3/4B1P1/6K1 w - -,1-0,85
4bk2/q3b1p1/P3pp1p/Q6P/1pN5/3PP3/4B1P1/6K1 b - -,1-0,86
4bk2/q3b1p1/P3pp1p/7P/1pN5/3PP3/4B1P1/Q5K1 w - -,1-0,87
4bk2/q3b1p1/P3pp1p/2p4P/1BN5/3PP3/4B1P1/Q5K1 b - -,1-0,88
4bk2/q3b1p1/P3pp1p/2p4P/1nN5/2BPP3/4B1P1/Q5K1 w - -,1-0,89
4bk2/2q1b1p1/P3pp1p/2p4P/1nN5/2BPP3/4B1P1/Q5K1 b - -,1-0,90
4bk2/2q1b1p1/4pp1p/P1p4P/1nN5/2BPP3/4B1P1/Q5K1 w - -,1-0,91
4bk2/2q1b1pp/4pp2/P1p4P/1nN5/2BPP3/4B1P1/Q5K1 b - -,1-0,92
4bk2/2q1b1pp/4pp2/P1p4P/QnN5/2BPP3/4B1P1/6K1 w - -,1-0,93
5k2/2q1bbpp/4pp2/P1p4P/QnN5/2BPP3/4B1P1/6K1 b - -,1-0,94
5k2/2q1bbpp/4pp2/P1p4P/QnN5/3PP3/1B2B1P1/6K1 w - -,1-0,95
6k1/2q1bbpp/4pp2/P1p4P/QnN5/3PP3/1B2B1P1/6K1 b - -,1-0,96
6k1/2q1bbpp/4pp2/P1p4P/1nN5/3PP3/QB2B1P1/6K1 w - -,1-0,97
6k1/2q1bbpp/2n1pp2/P1p4P/2N5/3PP3/QB2B1P1/6K1 b - -,1-0,98
6k1/2q1bbpp/2n1pp2/P1p4P/2N5/3Pp3/QB2BPP1/6K1 w - -,1-0,99
6k1/2q1bbpp/2n1pp2/P1p4P/2Np4/3PP3/QB2BPP1/6K1 b - -,1-0,100
6k1/2q1bbpp/2n1pp2/P1p4P/3p4/3PP3/QB1NBPP1/6K1 w - -,1-0,101
1n4k1/2q1bbpp/4pp2/P1p4P/3p4/3PP3/QB1NBPP1/6K1 b - -,1-0,102
1n4k1/2q1bbpp/4pp2/P1p4P/3p4/2BPP3/Q2NBPP1/6K1 w - -,1-0,103
1R4k1/2qnbbpp/4pp2/P1p4P/3p4/2BPP3/Q2NBPP1/6K1 b - -,1-0,104
1r4k1/2qnbbpp/4pp2/P1p4P/3p4/2BPP3/Q2NBPP1/1R4K1 w - -,1-0,105
1r4k1/2qnbbpp/4pp2/P1pp3P/8/2BPP3/Q2NBPP1/1R4K1 b - -,1-0,106
1r4k1/2qnbbpp/4pp2/P1pp3P/8/1NBPP3/Q3BPP1/1R4K1 w - -,1-0,107
1r4k1/q2nbbpp/4pp2/P1pp3P/8/1NBPP3/Q3BPP1/1R4K1 b - -,1-0,108
1r4k1/q2nbbpp/4pp2/P1pp3P/8/1NBPP3/1Q2BPP1/1R4K1 w - -,1-0,109
2r3k1/q2nbbpp/4pp2/P1pp3P/8/1NBPP3/1Q2BPP1/1R4K1 b - -,1-0,110
2r3k1/q2nbbpp/4pp2/P1pp3P/8/1NBPP3/1Q2BPP1/R5K1 w - -,1-0,111
2r3k1/q2nb1pp/4ppb1/P1pp3P/8/1NBPP3/1Q2BPP1/R5K1 b - -,1-0,112
2r3k1/q2nb1pp/4ppb1/P1pp4/7P/1NBPP3/1Q2BPP1/R5K1 w - -,1-0,113
1qr3k1/3nb1pp/4ppb1/P1pp4/7P/1NBPP3/1Q2BPP1/R5K1 b - -,1-0,114
1qr3k1/3nb1pp/4ppb1/P1pp4/8/1NBPP2P/1Q2BPP1/R5K1 w - -,1-0,115
1qr3k1/3nbppp/4p1b1/P1pp4/8/1NBPP2P/1Q2BPP1/R5K1 b - -,1-0,116
1qr3k1/3nbppp/4p1b1/P1pp4/3B4/1N1PP2P/1Q2BPP1/R5K1 w - -,1-0,117
1qr3k1/3nbppp/2p1p1b1/P2p4/3B4/1N1PP2P/1Q2BPP1/R5K1 b - -,1-0,118
1qr3k1/3nbppp/2p1p1b1/P2p4/3B4/1N1PP2P/3QBPP1/R5K1 w - -,1-0,119
1qr3k1/1p1nbppp/2R1p1b1/P2p4/3B4/1N1PP2P/3QBPP1/R5K1 b - -,1-0,120
1qr3k1/1p1nbppp/2r1p1b1/P2p4/3B4/1N1PP2P/3QBPP1/R1R3K1 w - -,1-0,121
q1r3k1/1p1nbppp/2r1p1b1/P2p4/3B4/1N1PP2P/3QBPP1/R1R3K1 b - -,1-0,122
q1r3k1/1p1nbppp/2r1p1b1/P2p4/3B4/1N1PP2P/3QBPP1/RR4K1 w - -,1-0,123
q1r3k1/1p1nbppp/r3p1b1/P2p4/3B4/1N1PP2P/3QBPP1/RR4K1 b - -,1-0,124
q1r3k1/1p1nbppp/r3p1b1/P2pB3/8/1N1PP2P/3QBPP1/RR4K1 w - -,1-0,125
q1r3k1/1p2bppp/r3p1b1/P1npB3/8/1N1PP2P/3QBPP1/RR4K1 b - -,1-0,126
q1r3k1/1p2bppp/r3p1b1/P1npB3/3N4/3PP2P/3QBPP1/RR4K1 w - -,1-0,127
q2r2k1/1p2bppp/r3p1b1/P1npB3/3N4/3PP2P/3QBPP1/RR4K1 b - -,1-0,128
q2r2k1/1p2bppp/r3p1b1/2npB3/P2N4/3PP2P/3QBPP1/RR4K1 w - -,1-0,129
q2r2k1/1p2bppp/2r1p1b1/2npB3/P2N4/3PP2P/3QBPP1/RR4K1 b - -,1-0,130
q2r2k1/1p2bppp/2r1p1b1/1NnpB3/P7/3PP2P/3QBPP1/RR4K1 w - -,1-0,131
q1rr2k1/1p2bppp/4p1b1/1NnpB3/P7/3PP2P/3QBPP1/RR4K1 b - -,1-0,132
q1rr2k1/1p2bppp/4p1b1/1Nnpn3/P7/2BPP2P/3QBPP1/RR4K1 w - -,1-0,133
q1rr2k1/1p2bppp/2n1p1b1/1NnpN3/P7/2BPP2P/3QBPP1/RR4K1 b - -,1-0,134
q1rr2k1/1p2bppp/2n1p1b1/1Nnp4/P7/2BPPN1P/3QBPP1/RR4K1 w - -,1-0,135
q1r2rk1/1p2bppp/2n1p1b1/1Nnp4/P7/2BPPN1P/3QBPP1/RR4K1 b - -,1-0,136
q1r2rk1/1p2bppp/2n1p1b1/1Nnp4/P7/2BPPN1P/3QBPP1/R4RK1 w - -,1-0,137
q1r2rk1/1p1nbppp/2n1p1b1/1N1p4/P7/2BPPN1P/3QBPP1/R4RK1 b - -,1-0,138
q1r2rk1/1p1nbppp/2n1p1b1/1N1p4/8/P1BPPN1P/3QBPP1/R4RK1 w - -,1-0,139
q1r2rk1/1p1nbppp/2n1p3/1N1p3b/8/P1BPPN1P/3QBPP1/R4RK1 b - -,1-0,140
q1r2rk1/1p1nbppp/2n1p3/1N1p3b/8/P1BPPN1P/4BPP1/R2Q1RK1 w - -,1-0,141
q1r2rk1/1p2bppp/2n1pn2/1N1p3b/8/P1BPPN1P/4BPP1/R2Q1RK1 b - -,1-0,142
q1r2rk1/1p2bppp/2n1pn2/1N1p3b/8/P1B1PN1P/3PBPP1/R2Q1RK1 w - -,1-0,143
2r2rk1/1p2bppp/2n1pn2/qN1p3b/8/P1B1PN1P/3PBPP1/R2Q1RK1 b - -,1-0,144
2r2rk1/1p2bppp/2n1pn2/qN1p3b/8/P3PN1P/1B1PBPP1/R2Q1RK1 w - -,1-0,145
2rq1rk1/1p2bppp/2n1pn2/PN1p3b/8/P3PN1P/1B1PBPP1/R2Q1RK1 b - -,1-0,146
2rq1rk1/1p2bppp/2n1pn2/pN1p3b/1P6/P3PN1P/1B1PBPP1/R2Q1RK1 w - -,1-0,147
2rq1rk1/1p3ppp/2nbpn2/pN1p3b/1P6/P3PN1P/1B1PBPP1/R2Q1RK1 b - -,1-0,148
2rq1rk1/1p3ppp/2nbpn2/p2p3b/1P6/P1N1PN1P/1B1PBPP1/R2Q1RK1 w - -,1-0,149
2rq1rk1/pp3ppp/2nbpn2/3p3b/1P6/P1N1PN1P/1B1PBPP1/R2Q1RK1 b - -,1-0,150
2rq1rk1/pp3ppp/2nbpn2/3p3b/1P6/P1N1PN1P/3PBPP1/R1BQ1RK1 w - -,1-0,151
2rqk2r/pp3ppp/2nbpn2/3p3b/1P6/P1N1PN1P/3PBPP1/R1BQ1RK1 b k -,1-0,152
2rqk2r/pp3ppp/2nbpn2/3p3b/8/P1N1PN1P/1P1PBPP1/R1BQ1RK1 w k -,1-0,153
2rqkb1r/pp3ppp/2n1pn2/3p3b/8/P1N1PN1P/1P1PBPP1/R1BQ1RK1 b k -,1-0,154
2rqkb1r/pp3ppp/2n1pn2/1B1p3b/8/P1N1PN1P/1P1P1PP1/R1BQ1RK1 w k -,1-0,155
2rqkb1r/pp2pppp/2n2n2/1B1p3b/8/P1N1PN1P/1P1P1PP1/R1BQ1RK1 b k -,1-0,156
2rqkb1r/pp2pppp/2n2n2/1B1p3b/8/P1N1PN1P/1P1P1PP1/R1BQK2R w KQk -,1-0,157
r2qkb1r/pp2pppp/2n2n2/1B1p3b/8/P1N1PN1P/1P1P1PP1/R1BQK2R b KQkq -,1-0,158
r2qkb1r/pp2pppp/2n2n2/3p3b/8/P1N1PN1P/1P1P1PP1/R1BQKB1R w KQkq -,1-0,159
rn1qkb1r/pp2pppp/5n2/3p3b/8/P1N1PN1P/1P1P1PP1/R1BQKB1R b KQkq -,1-0,160
rn1qkb1r/pp2pppp/5n2/3p3b/8/P3PN1P/1P1P1PP1/RNBQKB1R w KQkq -,1-0,161
rn1qkb1r/pp2pppp/2p2n2/3P3b/8/P3PN1P/1P1P1PP1/RNBQKB1R b KQkq -,1-0,162
rn1qkb1r/pp2pppp/2p2n2/3p3b/2P5/P3PN1P/1P1P1PP1/RNBQKB1R w KQkq -,1-0,163
rn1qkb1r/pp2pppp/2p2n2/3p4/2P3b1/P3PN1P/1P1P1PP1/RNBQKB1R b KQkq -,1-0,164
rn1qkb1r/pp2pppp/2p2n2/3p4/2P3b1/P3PN2/1P1P1PPP/RNBQKB1R w KQkq -,1-0,165
rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/P3PN2/1P1P1PPP/RNBQKB1R b KQkq -,1-0,166
rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/P4N2/1P1PPPPP/RNBQKB1R w KQkq -,1-0,167
rnbqkb1r/pp1ppppp/2p2n2/8/2P5/P4N2/1P1PPPPP/RNBQKB1R b KQkq -,1-0,168
rnbqkb1r/pp1ppppp/2p2n2/8/2P5/P7/1P1PPPPP/RNBQKBNR w KQkq -,1-0,169
rnbqkb1r/pppppppp/5n2/8/2P5/P7/1P1PPPPP/RNBQKBNR b KQkq -,1-0,170
rnbqkb1r/pppppppp/5n2/8/8/P7/1PPPPPPP/RNBQKBNR w KQkq -,1-0,171
rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq -,1-0,172
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,1-0,173
8/R7/4bkR1/1p6/5p2/p6r/5K2/3r1B2 b - -,0-1,0
8/R7/4bk2/1p6/5p2/p6r/5KR1/3r1B2 w - -,0-1,1
8/R7/4bk2/1p6/p4p2/7r/5KR1/3r1B2 b - -,0-1,2
8/R7/4bk2/1p6/p4p2/7r/6R1/3r1BK1 w - -,0-1,3
8/R7/4bk2/1p6/p2r1p2/7r/6R1/5BK1 b - -,0-1,4
8/R7/4bk2/1p6/p2r1p2/7r/4B1R1/6K1 w - -,0-1,5
8/R7/4b3/1p4k1/p2r1p2/7r/4B1R1/6K1 b - -,0-1,6
8/R7/4b3/1p4k1/p2r1p2/7r/4BR2/6K1 w - -,0-1,7
8/R7/4bk2/1p4P1/p2r1p2/7r/4BR2/6K1 b - -,0-1,8
8/R7/4bk2/1p6/p2r1pP1/7r/4BR2/6K1 w - -,0-1,9
7r/R7/4bk2/1p6/p2r1pP1/8/4BR2/6K1 b - -,0-1,10
7r/R7/4bk2/1p6/p2r1pP1/8/4BRK1/8 w - -,0-1,11
7r/R7/2p1bk2/1P6/p2r1pP1/8/4BRK1/8 b - -,0-1,12
7r/R7/2p1bk2/1p6/p1Pr1pP1/8/4BRK1/8 w - -,0-1,13
7r/R2b4/2p2k2/1p6/p1Pr1pP1/8/4BRK1/8 b - -,0-1,14
7r/R2b4/2p2k2/1p6/p1Pr1pP1/8/4BR2/5K2 w - -,0-1,15
6r1/R2b4/2p2k2/1p6/p1Pr1pP1/8/4BR2/5K2 b - -,0-1,16
6r1/R2b4/2p2k2/1p6/p1Pr1pP1/8/4BRK1/8 w - -,0-1,17
4b1r1/R7/2p2k2/1p6/p1Pr1pP1/8/4BRK1/8 b - -,0-1,18
4b1r1/R7/2p2k2/1p6/p1Pr1p2/6P1/4BRK1/8 w - -,0-1,19
4b1r1/R7/2p2k2/1p3p2/p1Pr4/6P1/4BRK1/8 b - -,0-1,20
4b1r1/R7/2p2k2/1p3p2/p1Pr4/6P1/4BR2/6K1 w - -,0-1,21
4b2r/R7/2p2k2/1p3p2/p1Pr4/6P1/4BR2/6K1 b - -,0-1,22
4b2r/R7/2p2k2/1p3p2/p1Pr4/5BP1/5R2/6K1 w - -,0-1,23
4b2r/R7/2pr1k2/1p3p2/p1P5/5BP1/5R2/6K1 b - -,0-1,24
4b2r/6R1/2pr1k2/1p3p2/p1P5/5BP1/5R2/6K1 w - -,0-1,25
4b2r/6R1/2pr4/1p3pk1/p1P5/5BP1/5R2/6K1 b - -,0-1,26
4b2r/R7/2pr4/1p3pk1/p1P5/5BP1/5R2/6K1 w - -,0-1,27
7r/R7/2pr2b1/1p3pk1/p1P5/5BP1/5R2/6K1 b - -,0-1,28
7r/4R3/2pr2b1/1p3pk1/p1P5/5BP1/5R2/6K1 w - -,0-1,29
7r/4R3/1ppr2b1/5pk1/p1P5/5BP1/5R2/6K1 b - -,0-1,30
7r/4R3/1ppr2b1/3B1pk1/p1P5/6P1/5R2/6K1 w - -,0-1,31
7r/2p1R3/1p1r2b1/3B1pk1/p1P5/6P1/5R2/6K1 b - -,0-1,32
7r/2p5/1p1r2b1/3BRpk1/p1P5/6P1/5R2/6K1 w - -,0-1,33
7r/2p5/1p1r4/3BRpkb/p1P5/6P1/5R2/6K1 b - -,0-1,34
7r/2p5/1p1r4/3B1pkb/p1P5/6P1/5R2/4R1K1 w - -,0-1,35
7r/2p5/1p1r4/3B1pk1/p1P5/6P1/5R2/3bR1K1 b - -,0-1,36
7r/2p5/1p1r4/3B1pk1/p1P5/4R1P1/5R2/3b2K1 w - -,0-1,37
7r/2pr4/1p6/3B1pk1/p1P5/4R1P1/5R2/3b2K1 b - -,0-1,38
7r/2pr4/1p6/3B1pk1/p1P5/4R1P1/R7/3b2K1 w - -,0-1,39
7r/2pr4/1p6/p2B1pk1/2P5/4R1P1/R7/3b2K1 b - -,0-1,40
7r/2pr4/1p6/p4pk1/2P5/4RBP1/R7/3b2K1 w - -,0-1,41
7r/2pr4/1p6/p4pk1/b1P5/4RBP1/R7/6K1 b - -,0-1,42
7r/2pr4/1p6/p4pk1/b1P5/4RBP1/3R4/6K1 w - -,0-1,43
7r/2p4r/1p6/p4pk1/b1P5/4RBP1/3R4/6K1 b - -,0-1,44
7r/2p4r/1p6/p4pk1/b1P5/4RpP1/3R2B1/6K1 w - -,0-1,45
7r/2p4r/1p6/p4pk1/b1P3p1/4RPP1/3R2B1/6K1 b - -,0-1,46
7r/2p4r/1p6/p4pk1/b1P3p1/4R1P1/3R1PB1/6K1 w - -,0-1,47
7r/2p4r/1p6/p4pk1/2P3p1/4R1P1/2bR1PB1/6K1 b - -,0-1,48
7r/2pR3r/1p6/p4pk1/2P3p1/4R1P1/2b2PB1/6K1 w - -,0-1,49
7r/2pR4/1p6/p4pk1/2P3p1/4R1P1/2b2PBr/6K1 b - -,0-1,50
7r/2p5/1p6/p4pk1/2PR2p1/4R1P1/2b2PBr/6K1 w - -,0-1,51
7r/2p5/1p3p2/p5k1/2PR2p1/4R1P1/2b2PBr/6K1 b - -,0-1,52
7r/2p5/1p3p2/p5k1/3R2p1/2P1R1P1/2b2PBr/6K1 w - -,0-1,53
7r/2p5/1p3p2/p5k1/b2R2p1/2P1R1P1/5PBr/6K1 b - -,0-1,54
7r/2p5/1p3p2/p5k1/b2p2p1/2P1R1P1/3R1PBr/6K1 w - -,0-1,55
7r/2p5/1p3p2/p3p1k1/b2P2p1/2P1R1P1/3R1PBr/6K1 b - -,0-1,56
7r/2p5/1p3p2/p3p1k1/b5p1/2PPR1P1/3R1PBr/6K1 w - -,0-1,57
7r/2p5/1p3p2/p3p1k1/P5p1/1bPPR1P1/3R1PBr/6K1 b - -,0-1,58
7r/2p5/1p3p2/p3p1k1/P3R1p1/1bPP2P1/3R1PBr/6K1 w - -,0-1,59
7r/2p4r/1p3p2/p3p1k1/P3R1p1/1bPP2P1/3R1PB1/6K1 b - -,0-1,60
7r/2p4r/1p3p2/p3p1k1/P5p1/1bPPR1P1/3R1PB1/6K1 w - -,0-1,61
7r/2p5/1p3p2/p3p1k1/P5p1/1bPPR1Pr/3R1PB1/6K1 b - -,0-1,62
7r/2p5/1p3p2/p3p1k1/P3B1p1/1bPPR1Pr/3R1P2/6K1 w - -,0-1,63
7r/2p5/1p2bp2/p3p1k1/P3B1p1/1PPPR1Pr/3R1P2/6K1 b - -,0-1,64
7r/2p5/1p2bp2/p3p1k1/P3B1p1/1PPPb1Pr/3RRP2/6K1 w - -,0-1,65
7r/2p5/1p2bp2/p3p1k1/P2bB1p1/1PPPN1Pr/3RRP2/6K1 b - -,0-1,66
7r/2p5/1p2bp2/p3p1k1/P2bB1p1/1P1PN1Pr/2PRRP2/6K1 w - -,0-1,67
7r/2p2b2/1p3p2/p3p1k1/P2bB1p1/1P1PN1Pr/2PRRP2/6K1 b - -,0-1,68
7r/2p2b2/1p3p2/p3p1k1/P1NbB1p1/1P1P2Pr/2PRRP2/6K1 w - -,0-1,69
7r/2p2b2/1p3pk1/p3p3/P1NbB1p1/1P1P2Pr/2PRRP2/6K1 b - -,0-1,70
7r/2p2b2/1pB2pk1/p3p3/P1Nb2p1/1P1P2Pr/2PRRP2/6K1 w - -,0-1,71
7r/2p2b2/1pB2pk1/p3p3/P1Nb2p1/1P1P2P1/2PRRP1r/6K1 b - -,0-1,72
7r/2p2b2/1pB2pk1/p3p3/P1Nb2p1/1P1P2P1/2P1RP1r/3R2K1 w - -,0-1,73
7r/2p2b2/1pB2pk1/p3p3/P1N3p1/1PbP2P1/2P1RP1r/3R2K1 b - -,0-1,74
7r/2p2b2/1p3pk1/p3p3/P1N3p1/1PbP2P1/2P1RPBr/3R2K1 w - -,0-1,75
7r/2p2b1r/1p3pk1/p3p3/P1N3p1/1PbP2P1/2P1RPB1/3R2K1 b - -,0-1,76
7r/2p2b1r/1p3pk1/p3p3/P1N3p1/1PbP2P1/2P1RPB1/1R4K1 w - -,0-1,77
7r/2p2b1r/1p3p2/p3p1k1/P1N3p1/1PbP2P1/2P1RPB1/1R4K1 b - -,0-1,78
7r/2p2b1r/1pB2p2/p3p1k1/P1N3p1/1PbP2P1/2P1RP2/1R4K1 w - -,0-1,79
7r/2p2b1r/1pB2p2/p3p1k1/PbN3p1/1P1P2P1/2P1RP2/1R4K1 b - -,0-1,80
7r/2p2b1r/1p3p2/p3p1k1/PbN3p1/1P1P2P1/2P1RPB1/1R4K1 w - -,0-1,81
3r4/2p2b1r/1p3p2/p3p1k1/PbN3p1/1P1P2P1/2P1RPB1/1R4K1 b - -,0-1,82
3r4/2p2b1r/1p3p2/p3p1k1/Pb4p1/1P1P2P1/1NP1RPB1/1R4K1 w - -,0-1,83
3r3r/2p2b2/1p3p2/p3p1k1/Pb4p1/1P1P2P1/1NP1RPB1/1R4K1 b - -,0-1,84
3r3r/2p2b2/1p3p2/p3p1k1/Pb4p1/1P1P2P1/2P1RPB1/1R1N2K1 w - -,0-1,85
3r3r/2p5/1p2bp2/p3p1k1/Pb4p1/1P1P2P1/2P1RPB1/1R1N2K1 b - -,0-1,86
